uid,mandal,district,vci
TSSD0086,Chevella,Rangareddy,32.46840682824373
TSSD0087,Chigurumamidi,Karimnagar,44.33092339506574
TSSD0088,Chilkur,Suryapet,44.41044822607872
TSSD0089,Chilpur,Jangoan,41.589246070630196
TSSD0090,Chinna Chinta Kunta,Mahabubnagar,40.37214853200433
TSSD0091,Chinnagudur,Mahabubabad,43.13850118743942
TSSD0092,Chinnakodur,Siddipet,41.37274926516442
TSSD0093,Chinnambavi,Wanaparthy,69.37106576821853
TSSD0094,Chintakani,Khammam,53.305522725031594
TSSD0095,Chintalamanepally,Kumurambheem Asifabad,43.0008285548216
TSSD0096,Chinthala palem,Suryapet,45.3807928878074
TSSD0097,Chinthapally,Nalgonda,42.50701571241779
TSSD0098,Chityal,Jayashankar Bhupalpally,46.818018995575024
TSSD0099,Chityal,Nalgonda,43.80716947398357
TSSD0100,Chivvemla,Suryapet,43.88304010085952
TSSD0101,Choppadandi,Karimnagar,47.856886938456235
TSSD0102,Choutuppal,Yadadri Bhuvanagiri,37.57970105418934
TSSD0103,Chowdergudem,Rangareddy,46.63819856491515
TSSD0104,Chunchupally,Bhadradri Kothagudem,51.50554327414314
TSSD0105,Dahegaon,Kumurambheem Asifabad,52.406975590052205
TSSD0106,Damaracherla,Nalgonda,42.86760477817793
TSSD0107,Damargidda,Narayanpet,40.6666245251298
TSSD0108,Damera,Warangal_Rural,56.63129767292145
TSSD0109,Dammapeta,Bhadradri Kothagudem,55.44488021408862
TSSD0110,Dandepalle,Mancherial,54.42555944265144
TSSD0111,Danthalapalle,Mahabubabad,48.52060939591426
TSSD0112,Dasturabad,Nirmal,51.33718525026305
TSSD0113,Devarakonda,Nalgonda,38.52594823346084
TSSD0114,Devarkadra,Mahabubnagar,42.622126080684964
TSSD0115,Devaruppula,Jangoan,46.327923013282394
TSSD0116,Dhanwada,Narayanpet,42.110718835916444
TSSD0117,Dharmapuri,Jagtial,53.29879695328777
TSSD0118,Dharmaram,Peddapalli,48.24420134810592
TSSD0119,Dharmasagar,Warangal_Urban,44.87316923662032
TSSD0120,Dharoor,Jogulamba Gadwal,39.25303873020601
TSSD0121,Dharoor,Vikarabad,47.506494998786415
TSSD0122,Dharpally,Nizamabad,48.348217483990055
TSSD0123,Dichpally,Nizamabad,50.06774813955351
TSSD0124,Dilawarpur,Nirmal,55.29078892525781
TSSD0125,Doma,Vikarabad,44.09970367262309
TSSD0126,Dornakal,Mahabubabad,51.562081203654344
TSSD0127,Doulthabad,Vikarabad,48.68342272756006
TSSD0128,Dubbak,Siddipet,37.4526996174623
TSSD0129,Duggondi,Warangal_Rural,56.542298039028076
TSSD0130,Dummugudem,Bhadradri Kothagudem,49.70447800749126
TSSD0131,Dundigal Gandimaisamma,Medchal_Malkajgiri,39.05036935364612
TSSD0132,Eligaid,Peddapalli,43.62846445525642
TSSD0133,Elkathurthi,Warangal_Urban,48.625339299307605
TSSD0134,Ellandakunta,Karimnagar,50.34150199653049
TSSD0135,Enkoor,Khammam,42.041643702087676
TSSD0136,Eturnagaram,Mulugu,59.27104137785571
TSSD0137,Farooqnagar,Rangareddy,39.21771668919256
TSSD0138,Gadiguda,Adilabad,48.19650997359495
TSSD0139,Gadwal,Jogulamba Gadwal,44.13820248104714
TSSD0140,Gajwel,Siddipet,42.969345612257946
TSSD0141,Gambhiraopet,Rajanna Sircilla,41.483570414328234
TSSD0142,Gandeed,Mahabubnagar,44.99327331041106
TSSD0143,Gandhari,Kamareddy,40.71866480699437
TSSD0144,Gandipet,Rangareddy,43.29159426525848
TSSD0145,Gangadhara,Karimnagar,44.397737918023246
TSSD0146,Gangaram,Mahabubabad,57.36199578189045
TSSD0147,Ganneruvaram,Karimnagar,48.480158313511026
TSSD0148,Garidepalli,Suryapet,46.33868440543942
TSSD0149,Garla,Mahabubabad,39.170679625935406
TSSD0150,Geesugonda,Warangal_Rural,52.354287268806964
TSSD0151,Ghanapur_Mulug,Jayashankar Bhupalpally,37.51328349559701
TSSD0152,Ghanpur,Wanaparthy,38.311003796244435
TSSD0153,Ghanpur (Stn),Jangoan,41.84234248620618
TSSD0154,Ghatkesar,Medchal_Malkajgiri,41.57066814696299
TSSD0155,Ghattu,Jogulamba Gadwal,47.46440656985899
TSSD0156,Golkonda,Hyderabad,39.555140114362814
TSSD0157,Gollapalli,Jagtial,41.01185442335828
TSSD0158,Gopalpet,Wanaparthy,39.528425319798195
TSSD0159,Govindaraopet,Mulugu,43.67077775799471
TSSD0160,Gudihathnur,Adilabad,52.01090968221462
TSSD0161,Gudur,Mahabubabad,46.042789053173394
TSSD0162,Gummadidala,Sangareddy,43.88634141999778
TSSD0163,Gundala,Bhadradri Kothagudem,51.30654211978736
TSSD0164,Gundala,Yadadri Bhuvanagiri,44.041230429691446
TSSD0165,Gundlapally,Nalgonda,45.587929223755005
TSSD0166,Gurrampode,Nalgonda,45.421871374757856
TSSD0167,Hajipur,Mancherial,40.75929252243746
TSSD0168,Hanamkonda,Warangal_Urban,42.6760995100505
TSSD0169,Hanwada,Mahabubnagar,38.26636869402447
TSSD0170,Hasanparthy,Warangal_Urban,44.39702821448652
TSSD0171,Hathnoora,Sangareddy,45.04291288783528
TSSD0172,Havelighanpur,Medak,43.280453888349186
TSSD0173,Hayathnagar,Rangareddy,41.990468427569105
TSSD0174,Himayatnagar,Hyderabad,44.77487487616061
TSSD0175,Husnabad,Siddipet,46.756895973337755
TSSD0176,Huzur nagar,Suryapet,45.72123220125933
TSSD0177,Huzurabad,Karimnagar,48.3873410746603
TSSD0178,Ibrahimpatnam,Jagtial,60.02254115468123
TSSD0179,Ibrahimpatnam,Rangareddy,43.43788241667566
TSSD0180,Ichoda,Adilabad,48.761757266064926
TSSD0181,Illanthakunta,Rajanna Sircilla,44.06101123112686
TSSD0182,Inavolu,Warangal_Urban,46.79873834951095
TSSD0183,Indalwai,Nizamabad,47.03315581654162
TSSD0184,Inderavelly,Adilabad,48.091053538654684
TSSD0185,Itikyal,Jogulamba Gadwal,49.85617004532146
TSSD0186,Jadcherla,Mahabubnagar,36.89136283014704
TSSD0187,Jagdevpur,Siddipet,37.909202657786686
TSSD0188,Jagityal_Rural,Jagtial,45.831571623864015
TSSD0189,Jagtial,Jagtial,44.04216604114488
TSSD0190,Jainad,Adilabad,51.79709898566969
TSSD0191,Jainoor,Kumurambheem Asifabad,46.29076603006519
TSSD0192,Jaipur,Mancherial,51.36900540148713
TSSD0193,Jajireddigudem,Suryapet,45.986993514546285
TSSD0194,Jakranpally,Nizamabad,48.79411810165184
TSSD0195,Jammikunta,Karimnagar,52.313301493209366
TSSD0196,Jangoan,Jangoan,44.0428598800127
TSSD0197,Jannaram,Mancherial,55.43929224772965
TSSD0198,Jharasangam,Sangareddy,43.31108526870506
TSSD0199,Jukkal,Kamareddy,43.00843906124077
TSSD0200,Julapalli,Peddapalli,47.36993324373684
TSSD0201,Julurupad,Bhadradri Kothagudem,41.793957615594806
TSSD0202,Kaddampeddur,Nirmal,55.353746338148014
TSSD0203,Kadthal,Rangareddy,48.887696539889355
TSSD0204,Kagaznagar,Kumurambheem Asifabad,47.74462281728731
TSSD0205,Kalher,Sangareddy,37.54735458511505
TSSD0206,Kalluru,Khammam,42.27291438570215
TSSD0207,Kaloor_Thimmandoddi,Jogulamba Gadwal,41.97778589022561
TSSD0208,Kalwakurthy,Nagarkurnool,46.460231693739836
TSSD0209,Kamalapur,Warangal_Urban,49.73674823111939
TSSD0210,Kamanpur,Peddapalli,55.63843261233503
TSSD0211,Kamareddy,Kamareddy,37.8657263885407
TSSD0212,Kamepally,Khammam,55.165962406961775
TSSD0213,Kanagal,Nalgonda,45.81025264598715
TSSD0214,Kandi,Sangareddy,37.00496841445839
TSSD0215,Kandukur,Rangareddy,39.081311425202024
TSSD0216,Kangti,Sangareddy,41.06733735493025
TSSD0217,Kannaigudem,Mulugu,70.49015505477215
TSSD0218,Kannepalli,Mancherial,52.22969318737966
TSSD0219,Kapra,Medchal_Malkajgiri,43.61383493538034
TSSD0220,Karakagudem,Bhadradri Kothagudem,43.8742735404217
TSSD0221,Karimnagar,Karimnagar,48.25068444584068
TSSD0222,Karimnagar_Rural,Karimnagar,42.013935747443696
TSSD0223,Kasipet,Mancherial,57.684821664186245
TSSD0224,Kataram,Jayashankar Bhupalpally,49.15202766545948
TSSD0225,Kathlapur,Jagtial,48.67516481832008
TSSD0226,Kattangur,Nalgonda,46.3173881197412
TSSD0227,Keesara,Medchal_Malkajgiri,39.72151407408206
TSSD0228,Kerameri,Kumurambheem Asifabad,48.64992758940255
TSSD0229,Kesamudram,Mahabubabad,47.27202051328747
TSSD0230,Keshampeta,Rangareddy,40.34334825876178
TSSD0231,Kethepally,Nalgonda,44.90232725744901
TSSD0232,Khaazipet,Warangal_Urban,42.65326768194901
TSSD0233,Khairatabad,Hyderabad,46.98743095047566
